"keyword","category","asin","title","price","savings","percent","link","imageUrl","starRating"
"action camera","Cameras & Photography","B07HP18CWC","Apexcam 4K 20MP WiFi Action Camera Underwater Waterproof Camera Sports Camera Camcorder Ultra HD 40M 170°Wide-Angle 2.4G Wireless Remote Control 2.0'' LCD Screen 2x1050mAh Batteries and Accessories","$49.99","$20.01 (29%)","29","https://www.amazon.ca/dp/B07HP18CWC?tag=lesdealsduw02-20&linkCode=osi&th=1&psc=1","https://m.media-amazon.com/images/I/41srQceOY+L._SL500_.jpg","0"
"adhesive vinyl","Makers & Digital Fabrication","B0BVMY4478","Premium Printable Vinyl Sticker Paper for Inkjet Printer and Laser - 20 White Matte Sticker Paper Waterproof - Durability Adhesive Paper 8.5 x 11, Fast Dry, Holds Ink Well, Great for Cutting Machines","$17.47","$6.52 (27%)","27","https://www.amazon.ca/dp/B0BVMY4478?tag=lesdealsduw02-20&linkCode=osi&th=1&psc=1","https://m.media-amazon.com/images/I/41iWLmd73uL._SL500_.jpg","0"
"adhesive vinyl","Makers & Digital Fabrication","B083V21D5V","TECKWRAP Permanent Adhesive Vinyl 12"" x 10ft, Matte Beige","$16.90 ($5.54 / meter)","$10.00 (37%)","37","https://www.amazon.ca/dp/B083V21D5V?tag=lesdealsduw02-20&linkCode=osi&th=1&psc=1","https://m.media-amazon.com/images/I/31FVKAkhnWL._SL500_.jpg","0"
"acrylic paint","Arts & Crafts","B0BGM5CNS2","MEEDEN Heavy Body Acrylic Paint Set, 100 Colors Acrylic Paint Tubes, Non-toxic 0.41 fl Oz /12ml Acrylic Paints for Adults, Beginners, Professional Acrylic Paint for Canvas Painting","$47.96 ($4.00 / 100 ml)","$11.99 (20%)","20","https://www.amazon.ca/dp/B0BGM5CNS2?tag=lesdealsduw02-20&linkCode=osi&th=1&psc=1","https://m.media-amazon.com/images/I/51Xj3ydVvZL._SL500_.jpg","0"
"air bed","Camping & Survival","B0CZQWW2RP","Airefina Air Mattress Queen with Built-in Pump, 18"" Portable Inflatable Mattress, 3 Mins Inflation/Deflation Blow Up Mattress with Carrying Bag for Home, Guest, Camping, Matelas Gonflable, Air Bed","$109.99","$30.00 (21%)","21","https://www.amazon.ca/dp/B0CZQWW2RP?tag=lesdealsduw02-20&linkCode=osi&th=1&psc=1","https://m.media-amazon.com/images/I/41dzjJGpPSL._SL500_.jpg","0"
"air bed","Camping & Survival","B0869F6JYB","INTEX 64131ED Dura-Beam Plus Deluxe Pillow Rest Air Mattress: Fiber-Tech – Twin Size – Built-in Electric Pump – 16.5in Bed Height – 300lb Weight Capacity","$69.54","$19.35 (22%)","22","https://www.amazon.ca/dp/B0869F6JYB?tag=lesdealsduw02-20&linkCode=osi&th=1&psc=1","https://m.media-amazon.com/images/I/31StoHN0V8L._SL500_.jpg","0"
"air bed","Camping & Survival","B0F1CG2XJX","iDOO Air Mattress, Twin Inflatable Mattress with Built-in Pump, 3 Mins Quick Inflation/Deflation, Comfortable Top Surface Blow Up Bed for Home Portable Camping Travel, 75x39x15in, Matelas Gonflable","$69.99","$43.00 (38%)","38","https://www.amazon.ca/dp/B0F1CG2XJX?tag=lesdealsduw02-20&linkCode=osi&th=1&psc=1","https://m.media-amazon.com/images/I/41-mqWhOu5L._SL500_.jpg","0"
"air mattress camping","Camping & Survival","B0DSW5VSX2","GEAR DOCTORS ® [500g] Ultralight Ether Camping Mattress Sleeping pad air Mattress Camping Sleeping pad Camp mat, matelas gonflable, Portable","$41.99","$14.00 (25%)","25","https://www.amazon.ca/dp/B0DSW5VSX2?tag=lesdealsduw02-20&linkCode=osi&th=1&psc=1","https://m.media-amazon.com/images/I/41bTISrQiLL._SL500_.jpg","0"
"air fryer","Kitchen","B08GL1XSH8","Ninja Foodi 6-in-1 8-qt. (7.6L) 2-Basket Air Fryer DualZone Technology, Match Cook & Smart Finish to Roast, Broil, Dehydrate & More for Quick, Easy Meals, Slate Grey (DZ201C) Canadian Version","$179.99","$50.00 (22%)","22","https://www.amazon.ca/dp/B08GL1XSH8?tag=lesdealsduw02-20&linkCode=osi&th=1&psc=1","https://m.media-amazon.com/images/I/31rqqX-Z-dL._SL500_.jpg","0"
"air fryer","Kitchen","B08DKYBTPH","Chefman TurboFry® Touch Air Fryer, XL 8-Qt (7.5L) Family Size, One-Touch Digital Control Presets, French Fries, Chicken, Meat, Fish, Nonstick Dishwasher-Safe Parts, Automatic Shutoff, Stainless Steel","$84.99","$36.50 (30%)","30","https://www.amazon.ca/dp/B08DKYBTPH?tag=lesdealsduw02-20&linkCode=osi&th=1&psc=1","https://m.media-amazon.com/images/I/41LCWvABsqL._SL500_.jpg","0"
